Network,Authority ID,Account Address,Email,Twitter,Website,Riot
Tangle_Mainnet,tgFBKtHcatTVFcZU4urL8vUFvC2HGGJY9mUwpSbs37tgFVSAu,tgFBKtHcatTVFcZU4urL8vUFvC2HGGJY9mUwpSbs37tgFVSAu,,,,
Tangle_Mainnet,tgExWnt5dXPwxWUFHkYYLnjMyMrmidcShBoh18rHLmKAVZsMt,tgExWnt5dXPwxWUFHkYYLnjMyMrmidcShBoh18rHLmKAVZsMt,,,,
Tangle_Mainnet,tgH3SJFgvVNLawU46DRkAxNYWr9SdUbuXVdh52Y5jdRkb77JG,tgH3SJFgvVNLawU46DRkAxNYWr9SdUbuXVdh52Y5jdRkb77JG,,,,
Tangle_Mainnet,tgE48ACdpELrXmHMyvLEAvETr8gHtoyEjWzCo6wk81BeKbWNC,tgE48ACdpELrXmHMyvLEAvETr8gHtoyEjWzCo6wk81BeKbWNC,,,,
Tangle_Mainnet,tgFdWkR1NvFK8XoTxjgggvNERvSN3ui3z3TExRR4xoG2uu7Ag,tgFdWkR1NvFK8XoTxjgggvNERvSN3ui3z3TExRR4xoG2uu7Ag,,,,
Tangle_Mainnet,tgCCpfXpP6qHGKGJW1yAvvGsiZsCgUMfjnYpdpb8Nh19ERztX,tgCCpfXpP6qHGKGJW1yAvvGsiZsCgUMfjnYpdpb8Nh19ERztX,,,,
Tangle_Mainnet,tgDRMdwZTa3riRNQ5CnW7uVc6gVZoWmu1z6GeXoks74rLLZA3,tgDRMdwZTa3riRNQ5CnW7uVc6gVZoWmu1z6GeXoks74rLLZA3,,,,
Tangle_Mainnet,tgEqEp6ptyuURvKBPs9hY1qxpvWXxRg28vsGN8GudPhKTGpGK,tgEqEp6ptyuURvKBPs9hY1qxpvWXxRg28vsGN8GudPhKTGpGK,,,,
Tangle_Mainnet,tgCc4axoUuTo7u2pL6wcpzv4y2NVCSDH6SvaWTYoyiqF4iTZ5,tgCc4axoUuTo7u2pL6wcpzv4y2NVCSDH6SvaWTYoyiqF4iTZ5,,,,
Tangle_Mainnet,tgGxW7kEdKP5iQNgACJbX5dyifraFqgWoaTc6P78YT1yGFusF,tgGxW7kEdKP5iQNgACJbX5dyifraFqgWoaTc6P78YT1yGFusF,,,,
